record_time,pressure,pressure_lag_1,pressure_lag_2
2023-01-01 00:10:00,0.503575,0.480507,0.45777
2023-01-01 00:10:00,0.490934,0.503575,0.480507
2023-01-01 00:12:00,0.559344,0.490934,0.503575
2023-01-01 00:12:00,0.542457,0.559344,0.490934
2023-01-01 00:14:00,0.585791,0.542457,0.559344
2023-01-01 00:16:00,0.522784,0.585791,0.542457
2023-01-01 00:22:00,0.554167,0.522784,0.585791
2023-01-01 00:22:00,2.5,0.554167,0.522784
2023-01-01 00:24:00,0.57084,2.5,0.554167
2023-01-01 00:28:00,0.559379,0.57084,2.5
2023-01-01 00:30:00,0.548918,0.559379,0.57084
2023-01-01 00:32:00,0.583218,0.548918,0.559379
2023-01-01 00:34:00,0.510405,0.583218,0.548918
2023-01-01 00:36:00,0.510377,0.510405,0.583218
2023-01-01 00:40:00,0.538302,0.510377,0.510405
2023-01-01 00:40:00,0.566931,0.538302,0.510377
2023-01-01 00:42:00,0.592377,0.566931,0.538302
2023-01-01 00:46:00,0.535008,0.592377,0.566931
2023-01-01 00:48:00,0.613625,0.535008,0.592377
2023-01-01 00:52:00,0.673375,0.613625,0.535008
2023-01-01 00:58:00,0.650845,0.673375,0.613625
2023-01-01 00:58:00,0.611302,0.650845,0.673375
2023-01-01 01:00:00,0.605433,0.611302,0.650845
2023-01-01 01:02:00,0.604559,0.605433,0.611302
2023-01-01 01:06:00,0.635018,0.604559,0.605433
2023-01-01 01:06:00,0.754639,0.635018,0.604559
2023-01-01 01:08:00,0.642453,0.754639,0.635018
2023-01-01 01:10:00,0.648451,0.642453,0.754639
2023-01-01 01:14:00,0.597524,0.648451,0.642453
2023-01-01 01:16:00,0.614639,0.597524,0.648451
2023-01-01 01:16:00,0.603694,0.614639,0.597524
2023-01-01 01:20:00,0.695195,0.603694,0.614639
2023-01-01 01:24:00,0.641419,0.695195,0.603694
2023-01-01 01:24:00,0.638915,0.641419,0.695195
2023-01-01 01:32:00,0.655037,0.638915,0.641419
2023-01-01 01:38:00,0.727156,0.655037,0.638915
2023-01-01 01:40:00,0.687518,0.727156,0.655037
2023-01-01 01:44:00,0.651584,0.687518,0.727156
2023-01-01 01:44:00,0.65047,0.651584,0.687518
2023-01-01 01:46:00,0.690177,0.65047,0.651584
2023-01-01 01:48:00,2.5,0.690177,0.65047
2023-01-01 01:52:00,0.706314,2.5,0.690177
2023-01-01 01:54:00,0.649615,0.706314,2.5
2023-01-01 01:54:00,0.753492,0.649615,0.706314
2023-01-01 01:56:00,0.612402,0.753492,0.649615
2023-01-01 01:56:00,0.7171,0.612402,0.753492
2023-01-01 02:02:00,0.719286,0.7171,0.612402
2023-01-01 02:02:00,0.760346,0.719286,0.7171
2023-01-01 02:04:00,0.766518,0.760346,0.719286
2023-01-01 02:08:00,0.711141,0.766518,0.760346
2023-01-01 02:14:00,0.747645,0.711141,0.766518
2023-01-01 02:16:00,0.612165,0.747645,0.711141
2023-01-01 02:16:00,0.627853,0.612165,0.747645
2023-01-01 02:18:00,0.658319,0.627853,0.612165
2023-01-01 02:18:00,0.669294,0.658319,0.627853
2023-01-01 02:24:00,0.65352,0.669294,0.658319
2023-01-01 02:26:00,0.650157,0.65352,0.669294
2023-01-01 02:28:00,0.711987,0.650157,0.65352
2023-01-01 02:28:00,0.78136,0.711987,0.650157
2023-01-01 02:32:00,0.668627,0.78136,0.711987
2023-01-01 02:34:00,0.726938,0.668627,0.78136
2023-01-01 02:36:00,0.653409,0.726938,0.668627
2023-01-01 02:38:00,0.63997,0.653409,0.726938
2023-01-01 02:42:00,0.655726,0.63997,0.653409
2023-01-01 02:44:00,0.644614,0.655726,0.63997
2023-01-01 02:44:00,0.808407,0.644614,0.655726
2023-01-01 02:46:00,0.677721,0.808407,0.644614
2023-01-01 02:50:00,0.649415,0.677721,0.808407
2023-01-01 02:52:00,0.625744,0.649415,0.677721
2023-01-01 02:56:00,2.5,0.625744,0.649415
2023-01-01 02:58:00,0.759955,2.5,0.625744
2023-01-01 03:02:00,0.709456,0.759955,2.5
2023-01-01 03:04:00,0.70051,0.709456,0.759955
2023-01-01 03:04:00,0.737418,0.70051,0.709456
2023-01-01 03:04:00,0.713404,0.737418,0.70051
2023-01-01 03:08:00,0.667269,0.713404,0.737418
2023-01-01 03:08:00,0.709335,0.667269,0.713404
2023-01-01 03:10:00,0.718517,0.709335,0.667269
2023-01-01 03:12:00,0.664539,0.718517,0.709335
